puma_id,statefip,puma,puma_name,cbsa,cbsa_name,overlap_pct,is_metro,is_micro
5116500,51,16500,Central Shenandoah Planning District Commission (Northeast),25500,"Harrisonburg, VA",1,TRUE,FALSE
5117100,51,17100,Northern Shenandoah Valley Regional Commission (South),,Non-metropolitan,,FALSE,FALSE
5117700,51,17700,George Washington Regional Commission (South),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.7085,TRUE,FALSE
5117900,51,17900,George Washington Regional Commission (North),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5118500,51,18500,LENOWISCO & Cumberland Plateau Planning District Commissions,,Non-metropolitan,,FALSE,FALSE
5119100,51,19100,Mount Rogers Planning District Commission,,Non-metropolitan,,FALSE,FALSE
5151000,51,51000,Alexandria City,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5154001,51,54001,Thomas Jefferson Planning District Commission (North),16820,"Charlottesville, VA",1,TRUE,FALSE
5155001,51,55001,Chesapeake City (Northeast),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5155002,51,55002,Chesapeake City (South & West),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5160001,51,60001,Fairfax County (Central)--Fairfax City & Burke,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5161001,51,61001,Fairfax County (Northeast)--McLean & Idylwood,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5165000,51,65000,Hampton City,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5168000,51,68000,Virginias Region 2000 (South)--Campbell County & Lynchburg City,31340,"Lynchburg, VA",1,TRUE,FALSE
5168701,51,68701,"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,TRUE,FALSE
5170000,51,70000,Newport News City,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5171001,51,71001,Norfolk City (North),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5171002,51,71002,Norfolk City (South),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5174001,51,74001,Portsmouth & Northern Chesapeake Cities,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5176001,51,76001,Richmond City (North & West),40060,"Richmond, VA",1,TRUE,FALSE
5176002,51,76002,Richmond City (South & East),40060,"Richmond, VA",1,TRUE,FALSE
5177001,51,77001,"Roanoke Valley-Alleghany Regional Commission (Roanoke, Salem Cities & Vinton Town)",40220,"Roanoke, VA",1,TRUE,FALSE
5180000,51,80000,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5181001,51,81001,Virginia Beach City (North),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5181002,51,81002,Virginia Beach City (Central),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5181003,51,81003,Virginia Beach City (South),47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,TRUE,FALSE
5320501,53,20501,"Walla Walla, Benton (Outer) & Franklin (Outer) Counties",47460,"Walla Walla, WA",0.5349,TRUE,FALSE
5320502,53,20502,Benton County (East Central)--Kennewick & Richland (South) Cities,28420,"Kennewick-Richland, WA",1,TRUE,FALSE
5320503,53,20503,"Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",28420,"Kennewick-Richland, WA",1,TRUE,FALSE
5320700,53,20700,Chelan & Douglas Counties,48300,"Wenatchee, WA",1,TRUE,FALSE
5320900,53,20900,Clallam & Jefferson Counties,38820,"Port Angeles, WA",0.7006,TRUE,TRUE
5321101,53,21101,Clark County (North)--Battle Ground City & Orchards,38900,"Portland-Vancouver-Hillsboro, OR-WA",1,TRUE,FALSE
5321102,53,21102,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",38900,"Portland-Vancouver-Hillsboro, OR-WA",1,TRUE,FALSE
5321103,53,21103,Clark County (Southwest)--Vancouver City (West & Central),38900,"Portland-Vancouver-Hillsboro, OR-WA",1,TRUE,FALSE
5321104,53,21104,Clark County (West Central)--Salmon Creek & Hazel Dell,38900,"Portland-Vancouver-Hillsboro, OR-WA",1,TRUE,FALSE
5321500,53,21500,"Cowlitz, Pacific, & Wahkiakum Counties",31020,"Longview, WA",0.7994,TRUE,FALSE
5322500,53,22500,Grant & Kittitas Counties,34180,"Moses Lake, WA",0.6909,TRUE,TRUE
5322700,53,22700,Grays Harbor & Mason Counties,10140,"Aberdeen, WA",0.5351,TRUE,TRUE
5322900,53,22900,Island & San Juan Counties,36020,"Oak Harbor, WA",0.83,TRUE,TRUE
5323301,53,23301,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323302,53,23302,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323303,53,23303,"King County (Northwest)--Redmond, Kirkland Cities, Ingelwood & Finn Hill",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323304,53,23304,King County (Northwest Central)--Greater Bellevue City,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323305,53,23305,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323306,53,23306,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323307,53,23307,King County (Southwest)--Auburn City & Lakeland,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323308,53,23308,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323309,53,23309,King County (Southwest Central)--Kent City,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323310,53,23310,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323311,53,23311,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323312,53,23312,Seatle City (West Seattle-Industrial),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323313,53,23313,Seattle City (Southeast),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323314,53,23314,Seattle City (Central),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323315,53,23315,Seattle City (Lake Union-Downtown),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323316,53,23316,Seattle City (Northwest),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323317,53,23317,Seattle City (Northeast),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323318,53,23318,Seattle City (North),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5323501,53,23501,Kitsap County (North)--Bainbridge Island City & Silverdale,14740,"Bremerton-Silverdale-Port Orchard, WA",1,TRUE,FALSE
5323502,53,23502,Kitsap County (South)--Bremerton & Port Orchard Cities,14740,"Bremerton-Silverdale-Port Orchard, WA",1,TRUE,FALSE
5324100,53,24100,"Lewis, Klickitat & Skamania Counties",16500,"Centralia, WA",0.7026,TRUE,TRUE
5325301,53,25301,Tacoma City (North),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325302,53,25302,Tacoma City (South),42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325303,53,25303,"Pierce County (North Central)--Bonney Lake, Edgewood, Fife & Sumner Cities",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325304,53,25304,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325305,53,25305,Pierce County (East Central)--Puyallup City & South Hill,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325306,53,25306,Pierce County (South Central)--Parkland & Spanaway,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325307,53,25307,Pierce County (West Central)--Lakewood & University Place Cities,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325308,53,25308,Pierce County (Northwest)--Peninsula Region & JBLM,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5325701,53,25701,Skagit County,34580,"Mount Vernon-Anacortes, WA",1,TRUE,FALSE
5326101,53,26101,Snohomish County (North)--Marysville & Arlington Cities,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5326102,53,26102,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities,42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
5326103,53,26103,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs",42660,"Seattle-Tacoma-Bellevue, WA",1,TRUE,FALSE
